"dt","new_users","returning_users","new_orders","returning_orders","orders_per_new_user","orders_per_returning_user"
2019-12-26,3892,26239,5392,38762,1.3854059609455294,1.4772666641259193
2019-12-27,3586,25537,5122,37959,1.4283324037925265,1.4864314524023965
2019-12-28,3832,27086,5328,39959,1.3903966597077244,1.475263974008713
2019-12-29,4415,29931,6094,43503,1.3802944507361268,1.45344291871304
2019-12-30,4491,30705,6153,44576,1.3700734802939212,1.4517505292297672
2019-12-31,2994,23693,4014,34219,1.3406813627254508,1.4442662389735366
2020-01-01,338,2452,862,6286,2.5502958579881656,2.563621533442088
2020-01-03,2409,13884,6948,41806,2.884184308841843,3.0110919043503315
2020-01-04,2884,16800,8094,49782,2.806518723994452,2.963214285714286
2020-01-05,2869,16807,7844,49010,2.7340536772394564,2.9160468852263937
2020-01-06,2851,16910,8032,49718,2.8172571027709576,2.9401537551744528
2020-01-07,2856,16384,8228,47216,2.880952380952381,2.8818359375
2020-01-08,2781,16140,7680,47340,2.761596548004315,2.933085501858736
2020-01-09,2662,15793,7500,45484,2.8174305033809164,2.8800101310707276
2020-01-10,2756,16128,7830,47132,2.8410740203193035,2.9223710317460316
2020-01-11,2625,15287,7612,44506,2.8998095238095236,2.911362595669523
2020-01-12,2673,15388,7384,44354,2.762439206883651,2.8823758773069925
2020-01-13,2684,16123,7620,47430,2.8390461997019374,2.9417602183216522
2020-01-14,2600,15827,7026,45618,2.7023076923076923,2.8822897580084668
2020-01-15,2540,15996,6986,47256,2.7503937007874018,2.95423855963991
2020-01-16,2782,17637,7758,51470,2.7886412652767794,2.9182967624879517
2020-01-17,3101,20143,8842,61330,2.851338277974847,3.044730179218587
2020-01-18,2933,19113,8262,57506,2.81691101261507,3.0087375085020667
2020-01-19,3061,18802,8696,56400,2.8409016661221824,2.999680885012233
2020-01-20,3166,18459,8928,56310,2.819962097283639,3.050544449861856
2020-01-21,3017,18322,8506,54890,2.819356977129599,2.995851981224757
2020-01-22,2843,17391,7916,52262,2.784382694336968,3.005117589557817
2020-01-23,2920,17635,8366,52430,2.865068493150685,2.9730649277005954
2020-01-24,2538,16235,7036,48122,2.772261623325453,2.9640899291653833
2020-01-25,2502,15702,7112,46212,2.8425259792166266,2.943064577760795
2020-01-26,2517,15901,6938,46822,2.756456098529996,2.9445946795799007
2020-01-27,2589,15953,7230,46874,2.7925840092699885,2.9382561273741614
2020-01-28,2610,16027,7238,46444,2.7731800766283525,2.897859861483746
