"first_touch_date","users_d0","retention_d1","retention_d7","retention_d30"
2020-02-08,48854,0.08705530765136939,0.033487534285831254,0.02329389609857944
2020-02-09,55536,0.07665298184961106,0.03603068280034572,0.02058124459809853
2020-02-10,56101,0.08153152350225486,0.03254843942175719,0.02065916828577031
2020-02-11,52814,0.0986859544817662,0.03493391903661908,0.019350929677736963
2020-02-12,64451,0.10170517137049852,0.03486369490000155,0.018060231804006146
2020-02-13,83888,0.0847081823383559,0.03515401487697883,0.010752431813847035
2020-02-14,88500,0.0712090395480226,0.030033898305084746,0.009141242937853107
2020-02-15,72047,0.08183546851360918,0.03252043804738573,0.011034463614029731
2020-02-16,72485,0.07866455128647307,0.03288956335793612,0.011464440918810789
2020-02-17,77201,0.07843162653333506,0.03222756181914742,0.009028380461392987
2020-02-18,84055,0.07718755576705728,0.03072987924573196,0.010255190054131223
2020-02-19,80313,0.07414739830413507,0.029397482350304434,0.010869971237533152
2020-02-20,80422,0.07427072194175723,0.007224391335704161,0.009798313894208053
2020-02-21,71567,0.07552363519499211,0.0200511408889572,0.00986488185895734
2020-02-22,72532,0.07813103182043787,0.02545083549329951,0.010340263607786908
2020-02-23,70171,0.0717390374941215,0.032178535292357244,0.010431659802482507
2020-02-24,69566,0.0770203835206854,0.037187706638300316,0.009516142943391887
2020-02-25,68226,0.07677425028581479,0.038035353091196905,0.009996189136106469
2020-02-26,67048,0.02715964682018852,0.03742095215368094,0.01067891659706479
2020-02-28,42845,0.07699848290348932,0.03727389427004318,0.010012836970474968
2020-02-29,55930,0.07740032183086,0.038870016091543,0.009029143572322547
2020-03-01,67117,0.0806204091362844,0.03337455488177362,0.009773976786805132
2020-03-02,73796,0.09531681933980161,0.037183587186297364,0.012155130359369071
2020-03-03,85106,0.08340187530843889,0.035673160529222384,0.010986299438347473
2020-03-04,79851,0.08333020250216028,0.03324942705789533,0.01084519918347923
2020-03-05,89201,0.08079505835136377,0.027925695900270175,0.01002230916693759
2020-03-06,84249,0.08049947180381962,0.021068499329368894,0.00908022647153082
2020-03-07,87039,0.07284091039648893,0.018727237215501097,0.010018497455163778
2020-03-08,73781,0.08159282200024397,0.01932746913161925,0.01061248830999851
2020-03-09,83030,0.07410574491147778,0.01764422497892328,0.011321209201493435
2020-03-10,90044,0.07134289902714229,0.015581271378437208,0.010650348718404336
2020-03-11,96943,0.05726045201819626,0.011687280154317485,0.009356013327419204
2020-03-12,62932,0.06500667387020911,0.017383842878027078,0.012124197546558189
2020-03-13,44986,0.06724314231094118,0.022851553816742986,0.015138042946694527
